Statistic,,,Zillow Home Value Index,,,,,,Listings with price cut (%),,,,Median value per sq. ft. ($),,,,Median price cut (%),,,,Median list price ($),,,,Median sale price ($),,,,Median list price / sq. ft. ($),,,,Median rent list price ($),,,,Median rent list price / sq. ft. ($),,,,Homes foreclosed,,,,Zillow Rent Index,,,
Region Name,Region Type,Type,Current,Month Over Month,Quarter Over Quarter,Year Over Year,5 Year Annualized,10 Year Annualized,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year
Northeast Park,neighborhood,All Homes,"$277,200",0.90%,2.60%,11.70%,9.60%,5.70%,---,---,---,---,$223,0.90%,2.80%,12.10%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Northrup,neighborhood,All Homes,"$324,700",0.40%,0.90%,2.90%,5.40%,3.30%,---,---,---,---,$232,0.40%,0.90%,3.10%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,"$1,810",--0.4%,--2.7%,--0.4%
Page,neighborhood,All Homes,"$445,000",0.20%,0.50%,--0.2%,3.80%,3.20%,---,---,---,---,$255,0.40%,0.80%,0.00%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Phillips West,neighborhood,All Homes,"$217,300",0.10%,0.50%,5.00%,9.10%,4.50%,---,---,---,---,$155,0.00%,0.00%,4.70%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
Powderhorn Park,neighborhood,All Homes,"$259,700",0.10%,0.20%,3.40%,7.80%,4.50%,---,---,---,---,$516,0.00%,0.20%,3.40%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$1,708",1.10%,1.00%,3.70%
Prospect Park,neighborhood,All Homes,"$369,900",0.10%,0.20%,--0.7%,4.00%,2.60%,---,---,---,---,$230,0.40%,0.40%,--0.4%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
Regina,neighborhood,All Homes,"$277,300",0.50%,1.40%,3.30%,7.00%,4.60%,---,---,---,---,$225,0.40%,1.40%,3.20%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Saint Anthony East,neighborhood,All Homes,"$309,600",0.50%,1.50%,6.80%,8.70%,5.70%,---,---,---,---,$240,0.80%,1.70%,7.10%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Saint Anthony West,neighborhood,All Homes,"$341,300",0.10%,0.50%,2.80%,5.90%,4.80%,---,---,---,---,$249,0.00%,0.40%,2.90%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Seward,neighborhood,All Homes,"$293,900",0.50%,1.40%,5.90%,6.30%,4.40%,---,---,---,---,$322,0.30%,1.30%,5.60%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$1,835",1.50%,2.70%,5.30%
Sheridan,neighborhood,All Homes,"$287,000",0.40%,1.50%,5.20%,9.00%,6.20%,---,---,---,---,$215,0.50%,1.40%,5.40%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Shingle Creek,neighborhood,All Homes,"$207,300",0.50%,1.40%,6.80%,9.00%,2.20%,---,---,---,---,$231,0.40%,1.30%,6.90%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Southeast Como,neighborhood,All Homes,"$278,400",0.60%,1.20%,4.00%,5.60%,3.20%,---,---,---,---,$883,0.60%,1.30%,4.00%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,500",0.80%,--9.3%,--0.2%,---,---,---,---,0,---,---,---,"$2,023",1.70%,7.20%,2.50%
Standish,neighborhood,All Homes,"$267,300",0.30%,0.60%,1.10%,6.70%,3.90%,---,---,---,---,$228,0.40%,0.90%,1.30%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$1,705",0.80%,--0.1%,2.80%
Stevens Square,neighborhood,All Homes,"$162,000",0.60%,1.40%,3.80%,6.40%,1.80%,---,---,---,---,$207,0.50%,1.00%,3.50%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Sumner-Glenwood,neighborhood,All Homes,"$302,000",0.10%,0.30%,2.60%,5.70%,3.50%,---,---,---,---,$264,0.40%,0.40%,2.70%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
University District,neighborhood,All Homes,"$277,400",0.70%,1.60%,2.90%,4.90%,2.70%,---,---,---,---,$218,0.50%,1.40%,2.80%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,--909.1%,---,---,---,---,---,---
Ventura Village,neighborhood,All Homes,"$216,400",0.30%,1.00%,5.80%,8.60%,5.00%,---,---,---,---,$164,0.00%,0.60%,5.80%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
